Job title,Company,Location,Skills,Links,Requirements,Date
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbl,Minimum 2 years of solid experience as Python Developer . Experience with Python framework Django for at least 2 years as well. Working in enterprise appsExperience with Amazon Web Services (AWS)Solid experience of databases and SQLExperience with PostgreSQLKnowledge of JavaScript and the ReactJS framework is a plusExperience with consuming REST APIs/JSON,2 days ago
Software Engineer (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Python · PHP · MySQL · JavaScript · JSON · Information Technology (IT) · HTML,https://wuzzuf.net/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbl,"Python Engineer with 2-3 years of experience using Django Framework.Experience with Flask or similar Python frameworks.Knowledge of CI/CD toolsExperience with the Amazon Web Services (AWS).Solid experience of databases ,SQL, MySQL and PostgreSQL.Experience with designing RESTful APIs/JSON using Django REST Framework.Familiarity with front-end languages such as HTML, JavaScript and the ReactJS framework is a plus.Knowledge of PHP(Laravel) is a big plus.Experience in a relevant field ( Fintech) is a plus.Excellent English level.",3 days ago
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · RESTful APIs · Software Testing · Development · English · Information Technology (IT) · Framework · ORM,https://wuzzuf.net/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbl,Excellent knowledge of software testing fundamentals.3-5 years of experience in the Software development field.Work experience as a Python DeveloperExpertise in at least one popular Python framework (ideally Flask or FastAPI)Knowledge of object-relational mapping (ORM)Team spiritGood problem-solving skillsExcellent written and spoken English.,7 days ago
Back End Developer (Java & Python),SSC Egypt -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Microservices · Web · Software Engineering · Computer Science · Software Development · Python · SOLID Principles,https://wuzzuf.net/jobs/p/tx16421lI388-Back-End-Developer-Java-Python-SSC-Egypt-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbl,"BSc degree in Computer Science or relevant fieldTotal experience 5-8 years using Java & Python in complex projects.Depth understanding of the entire web development process (design, development and deployment)Hands on experience with programming languages like Java web, and PythonWorking knowledge of Microservices Architecture .Excellent time management skillsTeamwork skills with a problem-solving attitudedepth understanding of the entire web developmentprocess (design, development and deployment)Familiarity with back-end languages (e.g. HTML, #JavaScript and CSS)Excellent English skills",2 days ago
Automation Test Engineer (Python),Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Python · Automation Testing · Automation · Computer Science · English · Information Technology (IT),https://wuzzuf.net/jobs/p/kgIZikqPZQPI-Automation-Test-Engineer-Python-Sceel-io-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbl,"3-5 years of experience in Test Automation.English level is Upper-IntermediateDegree/diploma in Computer Science or equivalent.Strong knowledge of Python language is a mustSolid knowledge of formal test theory, software metrics, test methodology.Experience with Selenium automation testing.Comprehensive knowledge of web-based technologies (HTTP, HTML).Experience with server platforms is an asset.Strong troubleshooting skills.",2 days ago
Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science,https://wuzzuf.net/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbl,"2+ years of experience with Python (or similar modern language) implementing backend services and APIs.Understanding of cloud infrastructure (AWS preferable) and security.Strong knowledge of SQL Databases (preferable PostGres).Strong knowledge of web scrapping technologies.Experience with TDD is a plus, but most be willing to adopt.Great communication skills written and verbal.Ability to work independently and as part of a team.",9 days ago
Quality Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Python · Automation Testing · Software Development · Performance · Computer Science · Information Technology (IT) · Software Engineering,https://wuzzuf.net/jobs/p/8zLDjSMAPmPM-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbl,"2+ years of experience with test automation using modern tools and programing languages (Python preferable).Deep understanding of software requirements and edge cases.Great creativity and motivation to find software bugs before they make it into production.Willingness to learn new tools and processes, as well as recommend new tools and processes to help with automation testing.Understanding of load testing and performance is a plus.Understanding of databases is a plus.",10 days ago
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbl,Knowledge of algorithms and data structures and design patterns.Strong analytical and reasoning skills with an ability to visualize processes and outcomes. Proficiency in troubleshooting software issues and debugging a large codebase.A passion for solving problems and providing workable solutions.Python. (OOP & functional programming paradigms & MicroService Architecture preferably Flask)GIT using Github. ( basic commands and branching models)Serverless (conceptual).Proficiency in relational DB design and performance improvement.English fluency is a must.,10 days ago
Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Django · Python · Software Development · PostgreSQL · Computer Science · Engineering · Git,https://wuzzuf.net/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=9&l=sp&t=sj&a=python|search-v3|navbl,"Previous experience in programming, software development, or other related fields;Knowledge of Python, Django, JavaScript and ReactJSFamiliarity with Postgresql and MongoDB Experience GIT for source control;Experience with Microsoft Azure is a plusSolid understanding of software engineering best practices;Work in Linux2+ year of development experience with Django framework and core Python. ",14 days ago
Senior Python Engineer,Brainology -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Engineering · Software Development,https://wuzzuf.net/jobs/p/D1SveKDFDc3V-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbl,"7+ years of professional experience5+ years of Python professional experience.AzureFlask, REST, PytestHigh communications skills",14 days ago
